id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
138591711,"女体化,巨乳,紧身衣,透明身体,克苏鲁,クトゥルフ","娘化,巨乳,紧身衣,透明身体,克苏鲁",羊角乌鸦,42961131,娘化克苏鲁,"20w粉纪念，画的最快的一集，虽然黑白关系崩成了依托，但是有大扔子看应该不会有人注意到吧。
【【羊角乌鸦】克苏鲁娘化】 https://www.bilibili.com/video/BV1fXmvBSE14/?share_source=copy_web&vd_source=f41af2045c0859046b85bc9fdaf3e7c2",Illustration,2,1085,No,853,12248,18,4000,6400,AllAges,No,2025-12-14T06:32:00+00:00,https://i.pximg.net/img-original/img/2025/12/14/15/32/27/138591711_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/14/15/32/27/138591711_p0_square1200.jpg,羊角乌鸦42961131/138591711娘化克苏鲁/娘化克苏鲁#138591711_p000.jpg
137734046,"巨乳,女体化,同人,二创","巨乳,娘化,同人,二创",羊角乌鸦,42961131,娘化安禄山之胡旋舞,"【【羊角乌鸦】娘化安禄山之胡旋舞】 https://www.bilibili.com/video/BV1bKULB5EFL/?share_source=copy_web&vd_source=f41af2045c0859046b85bc9fdaf3e7c2

快20w粉了，画啥好呢",Illustration,1,3674,No,2582,30664,84,6400,4000,AllAges,No,2025-11-21T14:13:00+00:00,https://i.pximg.net/img-original/img/2025/11/21/23/13/18/137734046_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/21/23/13/18/137734046_p0_square1200.jpg,羊角乌鸦42961131/娘化安禄山之胡旋舞#137734046_p000.jpg
137508342,"无敌少侠,invincible,インビンシブル,omniman","无敌少侠,invincible,Invincible,omniman",羊角乌鸦,42961131,大秦全能人,"众所周知。在动画无敌少侠中是有多维宇宙这个设定的。而类似维特鲁姆人这种军国体制，给我的感觉就和秦朝很类似，那一个大秦风格的全能人是不是也可以有？
【【无敌少侠】全能侠：大秦】 https://www.bilibili.com/video/BV1f9CkBtEPB/?share_source=copy_web&vd_source=f41af2045c0859046b85bc9fdaf3e7c2",Illustration,2,550,No,461,22018,29,4000,6400,AllAges,No,2025-11-15T11:58:00+00:00,https://i.pximg.net/img-original/img/2025/11/15/20/58/27/137508342_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/15/20/58/27/137508342_p0_square1200.jpg,羊角乌鸦42961131/137508342大秦全能人/大秦全能人#137508342_p000.jpg
137248902,"巨乳,裹衣巨乳,原创,着衣巨乳,meme,甲胄,同人,二创,中文","巨乳,裹衣巨乳,原创,显性巨乳,meme,甲胄,同人,二创,中文",羊角乌鸦,42961131,娘化安禄山,看着站内最近这么多讲安禄山的，发现这安禄山经常以“肥白”给其他人留下了好感，所以恶搞的画了一个。参考外网历史memes博主：centurii-chan的风格画的,Illustration,4,5936,No,4250,64072,136,4000,6400,AllAges,No,2025-11-08T14:37:00+00:00,https://i.pximg.net/img-original/img/2025/11/08/23/37/29/137248902_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/08/23/37/29/137248902_p0_square1200.jpg,羊角乌鸦42961131/137248902娘化安禄山/娘化安禄山#137248902_p000.jpg
135783201,"裹衣巨乳,僵尸,绝区零,黑丝,儀玄,仪玄,ゼンレスゾーンゼロ,ZenlessZoneZero,巨乳,キョンシー","裹衣巨乳,僵尸,绝区零,黑丝,儀玄,仪玄,ZenlessZoneZero,巨乳",羊角乌鸦,42961131,僵尸仪玄,"画爽了，再来一副

https://space.bilibili.com/29100844?spm_id_from=333.1007.0.0",Illustration,2,6472,No,4847,56289,32,4000,7000,AllAges,No,2025-10-02T04:45:00+00:00,https://i.pximg.net/img-original/img/2025/10/02/13/45/41/135783201_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/02/13/45/41/135783201_p0_square1200.jpg,羊角乌鸦42961131/135783201僵尸仪玄/僵尸仪玄#135783201_p000.jpg
135637658,"崩壊スターレイル,崩坏星穹铁道,HonkaiStarRail,流萤,巨乳,僵尸,キョンシー,陥没乳首,Firefly,ホタル(スターレイル)","崩坏：星穹铁道,崩坏星穹铁道,HonkaiStarRail,流萤,巨乳,僵尸,内陷乳头,Firefly,流萤（星穹铁道）",羊角乌鸦,42961131,僵尸服流萤,"正在科研绘画方式和速度，这次都有提升，相较于之前那次第一个僵尸卡芙卡好了很多。
关于十万粉娘化的画，还在设计，因为之前遇到了设计瓶颈，因此延后，下一个就画。",Illustration,2,9380,No,6757,66276,48,4000,7000,AllAges,No,2025-09-28T08:07:00+00:00,https://i.pximg.net/img-original/img/2025/09/28/17/07/30/135637658_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/28/17/07/30/135637658_p0_square1200.jpg,羊角乌鸦42961131/135637658僵尸服流萤/僵尸服流萤#135637658_p000.jpg
135383048,"崩坏星穹铁道,裹衣巨乳,黑丝,旗袍,崩壊スターレイル,僵尸,カフカ(スターレイル),Kafka,卡芙卡,キョンシー","崩坏星穹铁道,裹衣巨乳,黑丝,旗袍,崩坏：星穹铁道,僵尸,卡芙卡（星穹铁道）,Kafka,卡芙卡",羊角乌鸦,42961131,僵尸卡芙卡2,上一次画风简化失败了，这一次试着还是老样子画，然后融入一下现在的速写,Illustration,1,9368,No,6488,48085,35,4000,6400,AllAges,No,2025-09-21T14:27:00+00:00,https://i.pximg.net/img-original/img/2025/09/21/23/27/35/135383048_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/21/23/27/35/135383048_p0_square1200.jpg,羊角乌鸦42961131/僵尸卡芙卡2#135383048_p000.jpg
135001878,"巨乳,崩坏星穹铁道,HonkaiStarRail,僵尸,裹衣巨乳,旗袍","巨乳,崩坏星穹铁道,HonkaiStarRail,僵尸,裹衣巨乳,旗袍",羊角乌鸦,42961131,僵尸化卡芙卡,实验性的画，最近有些瓶颈，速写虽然上去了，但是还没想好怎么和自己的经验结合,Illustration,2,4508,No,3279,45275,26,4000,6400,AllAges,No,2025-09-12T05:03:00+00:00,https://i.pximg.net/img-original/img/2025/09/12/14/03/47/135001878_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/12/14/03/47/135001878_p0_square1200.jpg,羊角乌鸦42961131/135001878僵尸化卡芙卡/僵尸化卡芙卡#135001878_p000.jpg
134226249,"巨乳,裹衣巨乳,着衣巨乳,娘化,黑丝袜,黑神话,黑神话钟馗,钟馗","巨乳,裹衣巨乳,显性巨乳,娘化,黑丝袜,黑神话,黑神话钟馗,钟馗",羊角乌鸦,42961131,娘化黑神话钟馗,画不完疯狂宝贝短篇，太多了，先画个快的发上来，要不然大伙都以为我还在死的状态，然后再回去画疯狂宝贝的,Illustration,1,2236,No,1730,27911,34,5000,8000,AllAges,No,2025-08-23T05:24:00+00:00,https://i.pximg.net/img-original/img/2025/08/23/14/24/06/134226249_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/08/23/14/24/06/134226249_p0_square1200.jpg,羊角乌鸦42961131/娘化黑神话钟馗#134226249_p000.jpg
133719760,"巨乳,黑丝袜,插画,cf,护士,二创,中文,同人,尾巴,ryona","巨乳,黑丝袜,插画,cf,护士,二创,中文,同人,尾巴,ryona",羊角乌鸦,42961131,疯狂宝贝3,"复 活

先把介绍放出来，漫画部分还差一些还没画完，先复活，要不然怕你们觉得我还在死。
还在想后续的剧情与分镜，可以放心的是，想看的都有，就是怕一些人没法接受我现在的口味",Illustration,3,4105,No,2997,49629,79,5000,8000,AllAges,No,2025-08-10T11:17:00+00:00,https://i.pximg.net/img-original/img/2025/08/10/20/17/38/133719760_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/08/10/20/17/38/133719760_p0_square1200.jpg,羊角乌鸦42961131/133719760疯狂宝贝3/疯狂宝贝3#133719760_p000.jpg
