id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
138927410,"R-18,BBC,QOS,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,3DCG,3D","R-18,BBC,QOS,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,3DCG,3D",忙着变态,12028053,为了黑海岸运行卖淫的漂泊者,"小故事环节：为了维持黑海岸日益高涨的开销，漂泊者将自己卖给了黑人富商
————
题外话环节：这D插是真不行啊，等我有钱了一定换一台能上G插的电脑",Illustration,7,177,No,131,3454,4,6144,3456,R-18,No,2025-12-22T18:32:00+00:00,https://i.pximg.net/img-original/img/2025/12/23/03/32/34/138927410_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/23/03/32/34/138927410_p0_square1200.jpg,忙着变态12028053/138927410为了黑海岸运行卖淫的漂泊者/为了黑海岸运行卖淫的漂泊者#138927410_p000.png
138889366,"R-18G,QOS,鸣潮,漂泊者,rover,坎特蕾拉,Cantarella,食人,honeyselect2,WutheringWaves","R-18G,QOS,鸣潮,漂泊者,rover,坎特蕾拉,Cantarella,食人,honeyselect2,WutheringWaves",忙着变态,12028053,鸣潮笑传之烤烤猪,想不出来骚话，冬至没有饺子，那就吃点烤猪吧,Illustration,2,118,No,89,4172,3,6144,3456,R-18G,No,2025-12-21T18:27:00+00:00,https://i.pximg.net/img-original/img/2025/12/22/03/27/56/138889366_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/22/03/27/56/138889366_p0_square1200.jpg,忙着变态12028053/138889366鸣潮笑传之烤烤猪/鸣潮笑传之烤烤猪#138889366_p000.png
138510038,"R-18,BBC,HoneySelect2,QOS,鸣潮,WutheringWaves,吟霖,Yinlin","R-18,BBC,HoneySelect2,QOS,鸣潮,WutheringWaves,吟霖,Yinlin",忙着变态,12028053,煌珑笑传之恶堕女特务,"染了发的她还是原来的她吗？
————
整了个无人聊天的discord群，也是神秘南极动物转接口
https://discord.gg/9mRsJ4QB5",Illustration,1,243,No,174,3193,6,2592,4608,R-18,No,2025-12-12T06:11:00+00:00,https://i.pximg.net/img-original/img/2025/12/12/15/11/03/138510038_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/12/15/11/03/138510038_p0_square1200.jpg,忙着变态12028053/煌珑笑传之恶堕女特务#138510038_p000.png
138274574,"R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,嘉贝莉娜,Galbrena,守岸人,Shorekeeper","R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,嘉贝莉娜,Galbrena,守岸人,Shorekeeper",忙着变态,12028053,巨！腚！臀！魔！,相比于她们的恐怖巨腚，桌子上的玩具显得是如此可笑说是,Illustration,1,232,No,175,2993,1,3456,6144,R-18,No,2025-12-05T20:21:00+00:00,https://i.pximg.net/img-original/img/2025/12/06/05/21/23/138274574_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/06/05/21/23/138274574_p0_square1200.jpg,忙着变态12028053/巨！腚！臀！魔！#138274574_p000.png
138202418,"R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,千咲,Chisa,3D","R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,千咲,Chisa,3D",忙着变态,12028053,一把年纪还在卖弄风骚的千咲阿姨和漂泊者奶奶,被挑逗的是谁呢,Illustration,1,232,No,172,3672,3,4608,2592,R-18,No,2025-12-03T17:57:00+00:00,https://i.pximg.net/img-original/img/2025/12/04/02/57/37/138202418_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/04/02/57/37/138202418_p0_square1200.jpg,忙着变态12028053/一把年纪还在卖弄风骚的千咲阿姨和漂泊者奶奶#138202418_p000.png
137782863,"R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,嘉贝莉娜,Galbrena,守岸人,Shorekeeper","R-18,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover,嘉贝莉娜,Galbrena,守岸人,Shorekeeper",忙着变态,12028053,索拉市笑传之梦幻共演,索拉市婊子俱乐部部长漂泊者携带传奇母猪嘉贝莉娜与守岸人一同参与乱交淫趴的珍贵录像,Illustration,1,705,No,498,6306,1,4320,6020,R-18,No,2025-11-22T18:46:00+00:00,https://i.pximg.net/img-original/img/2025/11/23/03/46/11/137782863_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/23/03/46/11/137782863_p0_square1200.jpg,忙着变态12028053/索拉市笑传之梦幻共演#137782863_p000.png
137400165,"R-18,BBC,HoneySelect2,鸣潮,WutheringWaves,3D,3DCG,Galbrena,嘉贝莉娜,ガルブレーナ","R-18,BBC,HoneySelect2,鸣潮,WutheringWaves,3D,3DCG,Galbrena,嘉贝莉娜",忙着变态,12028053,你的黑桃骚妈妈嘉贝莉娜,世界观是现代鸣潮世界，黄毛旅行者因为意外穿越而来，闻到嘉贝身上的雌臭直接自愿当了锁奴干儿子只为舔脚嗦精，同期出场的还有媚黑婊潮妹，目前正在锐意制作中，将和漂子小漫画一同放出,Illustration,7,1491,No,990,12718,6,4320,7680,R-18,No,2025-11-12T13:14:00+00:00,https://i.pximg.net/img-original/img/2025/11/12/22/14/32/137400165_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/12/22/14/32/137400165_p0_square1200.jpg,忙着变态12028053/137400165你的黑桃骚妈妈嘉贝莉娜/你的黑桃骚妈妈嘉贝莉娜#137400165_p000.png
137143904,"R-18,BBC,QOS,HoneySelect2,WutheringWaves,漂泊者,奥古斯塔,嘉贝莉娜,鸣潮,3D","R-18,BBC,QOS,HoneySelect2,WutheringWaves,漂泊者,奥古斯塔,嘉贝莉娜,鸣潮,3D",忙着变态,12028053,七丘笑传之三只母猪,这是我们七丘最骚的三头母猪，你敢和她们对视十秒吗？,Illustration,1,457,No,306,7123,2,3840,2160,R-18,No,2025-11-05T18:34:00+00:00,https://i.pximg.net/img-original/img/2025/11/06/03/34/17/137143904_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/06/03/34/17/137143904_p0_square1200.jpg,忙着变态12028053/七丘笑传之三只母猪#137143904_p000.png
137085249,"R-18,痴女,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover","R-18,痴女,HoneySelect2,鸣潮,WutheringWaves,漂泊者,rover",忙着变态,12028053,迟来的万圣节色图,本来琢磨了个漂子被烤熟之后肚子被割成南瓜头的形状里面塞满糖的图，但我没有糖的mod，难绷,Illustration,1,155,No,104,3919,1,3840,2160,R-18,No,2025-11-04T06:26:00+00:00,https://i.pximg.net/img-original/img/2025/11/04/15/26/47/137085249_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/04/15/26/47/137085249_p0_square1200.jpg,忙着变态12028053/迟来的万圣节色图#137085249_p000.jpg
136313829,"R-18,HoneySelect2,鸣潮,吟霖,みしらぬネコ,WutheringWaves,漂泊者,rover","R-18,HoneySelect2,鸣潮,吟霖,陌陌,WutheringWaves,漂泊者,rover",忙着变态,12028053,他妈的十万匹鸡巴转动，漂子小漫画第二部分,狗日的小鬼子，说我码打的不行，那只能打厚码了,Illustration,8,1237,No,772,19456,6,2880,2160,R-18,No,2025-10-15T12:32:00+00:00,https://i.pximg.net/img-original/img/2025/10/15/21/32/35/136313829_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/15/21/32/35/136313829_p0_square1200.jpg,忙着变态12028053/136313829他妈的十万匹鸡巴转动，漂子小漫画第二部分/他妈的十万匹鸡巴转动，漂子小漫画第二部分#136313829_p000.png
136253010,"R-18,痴女,BBC,QOS,HoneySelect2,鸣潮,WutheringWaves,みしらぬネコ,漂泊者","R-18,痴女,BBC,QOS,HoneySelect2,鸣潮,WutheringWaves,陌陌,漂泊者",忙着变态,12028053,他妈的十万匹鸡巴转动，漂子小漫画,嘻嘻嘻，插烂漂子的小骚穴,Illustration,5,1560,No,1021,17942,1,2160,3073,R-18,No,2025-10-13T20:07:00+00:00,https://i.pximg.net/img-original/img/2025/10/14/05/07/43/136253010_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/14/05/07/43/136253010_p0_square1200.jpg,忙着变态12028053/136253010他妈的十万匹鸡巴转动，漂子小漫画/他妈的十万匹鸡巴转动，漂子小漫画#136253010_p000.jpg
136162728,"R-18,HoneySelect2,鸣潮,WutheringWaves,BBC,QOS,漂泊者,rover,みしらぬネコ,ニプルファック","R-18,HoneySelect2,鸣潮,WutheringWaves,BBC,QOS,漂泊者,rover,陌陌,乳头插入",忙着变态,12028053,救世主的肥穴就是好用啊,我说这是漂子这就是漂子，总而言之漂子也进入被迫害的行列了,Illustration,2,604,No,415,9227,2,3840,2160,R-18,No,2025-10-11T18:05:00+00:00,https://i.pximg.net/img-original/img/2025/10/12/03/29/11/136162728_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/12/03/29/11/136162728_p0_square1200.jpg,忙着变态12028053/136162728救世主的肥穴就是好用啊/救世主的肥穴就是好用啊#136162728_p000.png
135934544,"R-18,HoneySelect2,BBC,QOS,拡張済み,馬姦,獸姦,Cantarella,WutheringWaves,坎特蕾拉","R-18,HoneySelect2,BBC,QOS,拡張済み,马姦,獸姦,Cantarella,WutheringWaves,坎特蕾拉",忙着变态,12028053,七丘笑传之坎姐大战小马,翡萨烈生物制药的董事长与翡萨烈家族的家主坎特蕾拉女士正在直播展示翡萨烈最新的生物改造战马的性能，自从翡萨烈生物制药在上一年的转向之后，便迅速在成人用品领域占据了巨大份额,Illustration,5,2010,No,1189,18701,5,3840,2160,R-18,No,2025-10-05T20:14:00+00:00,https://i.pximg.net/img-original/img/2025/10/06/05/14/33/135934544_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/06/05/14/33/135934544_p0_square1200.jpg,忙着变态12028053/135934544七丘笑传之坎姐大战小马/七丘笑传之坎姐大战小马#135934544_p000.png
134709143,"R-18,痴女,HoneySelect2,鸣潮,壁尻,Augusta,WutheringWaves,奥古斯塔","R-18,痴女,HoneySelect2,鸣潮,卡洞,Augusta,WutheringWaves,奥古斯塔",忙着变态,12028053,七丘笑传之反差母猪,"七丘国际私人防务集团总裁奥古斯塔的成功学故事?
哈哈哈，你怎么会相信这样的传说?
一个乡下来的姑娘靠着自己的打拼在盘根错节的现代企业中成为执行董事?
故事永远只是无趣的故事?
我要和你讲述的。
是一个完全不同的版本。
——————
细化了一下昨天的图，编了段小作文。
奥古斯塔总督❌
奥古斯塔总裁⭕
接下来做谁呢，是莫塔里金融集团的安保部主任赞妮还是翡萨烈制药集团的董事长坎特蕾拉🤔",Illustration,3,772,No,456,11478,3,2925,2395,R-18,No,2025-09-04T11:57:00+00:00,https://i.pximg.net/img-original/img/2025/09/04/20/57/57/134709143_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/04/20/57/57/134709143_p0_square1200.jpg,忙着变态12028053/134709143七丘笑传之反差母猪/七丘笑传之反差母猪#134709143_p000.png
134688388,"R-18,HoneySelect2,鸣潮,奥古斯塔,Augusta,WutheringWaves,壁尻","R-18,HoneySelect2,鸣潮,奥古斯塔,Augusta,WutheringWaves,卡洞",忙着变态,12028053,七丘笑传之👉🌞asshole,这都是元老院指使我干的，元老院怎么那么不是个东西啊✋🏻😭✋🏻,Illustration,1,283,No,186,5769,1,2160,3840,R-18,No,2025-09-03T19:18:00+00:00,https://i.pximg.net/img-original/img/2025/09/04/04/18/04/134688388_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/04/04/18/04/134688388_p0_square1200.jpg,忙着变态12028053/七丘笑传之👉🌞asshole#134688388_p000.png
