id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
138776067,"R-18G,エロ処刑,工口处刑,首吊り","R-18G,H处刑,工口处刑,上吊",祈荒,10840345,美丽人生屠宰场某日的进货单（4）,家具是完全照搬的，我是真的不会设计人类家具但是又想画这个（汗）,Illustration,3,313,No,221,4902,7,3721,5262,R-18G,No,2025-12-19T05:02:00+00:00,https://i.pximg.net/img-original/img/2025/12/19/14/02/38/138776067_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/19/14/02/38/138776067_p0_square1200.jpg,祈荒10840345/138776067美丽人生屠宰场某日的进货单（4）/美丽人生屠宰场某日的进货单（4）#138776067_p000.jpg
138775917,"R-18,女兵士,女仆,修女,一脸嫌弃,立绘,露出","R-18,女士兵,女仆,修女,一脸嫌弃,立绘,暴露",祈荒,10840345,女兵档案第四弹（MAL）,"久等了！终于更新了，这次为了补足设定，我花了很多时间去看了一些欧洲中世纪的知识来为补全设定，设定已经越来越完善和有趣，希望未来可以做出更好的作品
目前有朋友正在我的设定来制作小说卡，等完成后将会放出给大家游玩，尽情期待！
如果您喜欢我的作品或者想要找我约稿，请支持我的fanbox联系，我一般用手机app的p站，不太能回复信息",Illustration,9,306,No,229,4114,2,3721,5262,R-18,No,2025-12-19T04:57:00+00:00,https://i.pximg.net/img-original/img/2025/12/19/13/57/14/138775917_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/19/13/57/14/138775917_p0_square1200.jpg,祈荒10840345/138775917女兵档案第四弹（MAL）/女兵档案第四弹（MAL）#138775917_p000.jpg
137989810,"R-18,人设,母乳","R-18,人设,母乳",祈荒,10840345,约稿,感谢诸位金主的约稿，用他们的oc丰富了我的世界观，我还是以完成约稿为主，更新延迟敬请理解！,Illustration,2,403,No,253,4401,12,4134,5847,R-18,No,2025-11-28T10:44:00+00:00,https://i.pximg.net/img-original/img/2025/11/28/19/44/09/137989810_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/11/28/19/44/09/137989810_p0_square1200.jpg,祈荒10840345/137989810约稿/约稿#137989810_p000.jpg
136411947,"R-18G,エロ処刑,工口处刑,女忍者,切腹,触手,対魔忍アサギ","R-18G,H处刑,工口处刑,女忍者,切腹,触手,对魔忍阿莎姬",祈荒,10840345,美丽人生屠宰场某日的进货单（3）,,Illustration,3,452,No,328,9655,7,3721,5262,R-18G,No,2025-10-18T04:41:00+00:00,https://i.pximg.net/img-original/img/2025/10/18/13/41/41/136411947_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/18/13/41/41/136411947_p0_square1200.jpg,祈荒10840345/136411947美丽人生屠宰场某日的进货单（3）/美丽人生屠宰场某日的进货单（3）#136411947_p000.jpg
136411778,"R-18,女戦闘員,人设,敵女,女忍者,露出","R-18,女战斗员,人设,敌女,女忍者,暴露",祈荒,10840345,女兵档案第三弹（CEEC）,武士的设计是致敬某位神隐3d大佬的作品，在此特别感谢,Illustration,9,487,No,331,7474,10,4134,5847,R-18,No,2025-10-18T04:33:00+00:00,https://i.pximg.net/img-original/img/2025/10/18/13/33/32/136411778_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/18/13/33/32/136411778_p0_square1200.jpg,祈荒10840345/136411778女兵档案第三弹（CEEC）/女兵档案第三弹（CEEC）#136411778_p000.jpg
135735514,古风,古风,祈荒,10840345,国庆贺图-肃月仙子,"国庆快乐！
偶尔换换口味画画国风
不过国风色色真的就别想了，太困难了，这张光脸我就画了三天，要是画各种姿势不如咕～杀了我
（下面衣服是透明的可以放大看）",Illustration,1,376,No,284,4296,6,4134,5847,AllAges,No,2025-09-30T17:55:00+00:00,https://i.pximg.net/img-original/img/2025/10/01/02/55/16/135735514_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/01/02/55/16/135735514_p0_square1200.jpg,祈荒10840345/国庆贺图-肃月仙子#135735514_p000.jpg
134693875,"R-18,漫画","R-18,漫画",祈荒,10840345,"SOUL OF FLESH","Since many friends enjoy my series, I've hired professional translators to translate my work. I've also created a Discord server and welcome everyone to join! Although my English proficiency is limited, there will be many bilingual friends (Chinese-English) in the group. I look forward to communicating with you all!
https://discord.gg/7G53gnvP",Manga,37,561,No,339,8565,9,3307,4678,R-18,No,2025-09-04T01:30:00+00:00,https://i.pximg.net/img-original/img/2025/09/04/10/30/08/134693875_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/04/10/30/08/134693875_p0_square1200.jpg,"祈荒10840345/134693875SOUL OF FLESH/SOUL OF FLESH#134693875_p000.jpg"
134667791,"R-18,女戦闘員,兽耳,巨乳,设定,人设","R-18,女战斗员,兽耳,巨乳,设定,人设",祈荒,10840345,女兵档案第二弹（CBH）,"原本本来是准备画帝国的，不过有粉丝大佬使用了钞能力！所以先画了这个阵营，在此特别鸣谢！
另外英文翻译版的也马上就要出来了，我恨英语，这种破文字也太难排版对其了....
在这里说一下，佣兵团有独立的佣兵评级机构，而其他所有阵营的女兵评级机构都是由维纳斯外包的，我没有吃书（暂时没有只能说）

展视一下个人数值的评判标准：
战斗力 
该条目在于测评个体的战斗能力，一些机械，驾驶类技能能力也包含在此条目
1能够在一般状态下听从命令
2可以寻找掩体，拥有一定战术素养
3熟练使用某种特殊武器或机械结构
4拥有侦察，布置战场，小队作战等较高的战术素养技能
5在模拟对抗训练中个体击杀十只标准女兵小队（一个C九个D为一只标准小队）

智力
该条目在于测评个体认识、理解客观事物并运用知识、经验等解决问题的能力
1大多数考试分数低于及格分（低于正常人）
2考试平均分数低于及格分但是由于偏科导致（某些方面低于正常人）
3考试平均分数达到及格分左右（正常人水平）
4考试分数高于及格分并没有不及格科目（优等生水平）
5同届考试分数达到前5%并至少平均分高于及格分10分（尖子）

情商
该条目在于测评个体对自己和他人情感的感知、理解和应对能力（社交能力和领导力）
1让人有些反感
2让人不会有什么感觉
3有一定的亲和力
4很会讨别人欢心
5有一定的领导能力

外貌
该条目测评个体的长相，气质，表演以及拥有的艺术类技能和性交技巧等能力
1女兵平均长相，但拥有残疾
2女兵平均长相
3有一定审美能力，会使用化妆，穿搭等额外能力展现自身魅力
4拥有一项才艺，并拥有不错的技术水准
5拥有较高审美时尚能力，且熟练掌握多项才艺

待遇
该条目对应该给予个体的待遇水平进行评级
1十到二十人宿舍，最低薪资
2四到八人宿舍，低级薪资
3二到四人宿舍，中级薪资
4单人宿舍，高级薪资
5高于以上所有",Illustration,7,479,No,334,7791,13,3721,5262,R-18,No,2025-09-03T09:30:00+00:00,https://i.pximg.net/img-original/img/2025/09/03/18/30/10/134667791_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/03/18/30/10/134667791_p0_square1200.jpg,祈荒10840345/134667791女兵档案第二弹（CBH）/女兵档案第二弹（CBH）#134667791_p000.jpg
134667786,"R-18G,エロ処刑,失禁,敗北,兽耳,女上連串し喉奥,母乳","R-18G,H处刑,失禁,败北,兽耳,女上連串し喉奥,母乳",祈荒,10840345,美丽人生屠宰场某日的进货单（2）,NF是非食品级的意思，在这里也提醒大家不要吃野生动物的肉，很脏的（笑,Illustration,3,443,No,316,8495,5,3721,5262,R-18G,No,2025-09-03T09:30:00+00:00,https://i.pximg.net/img-original/img/2025/09/03/18/30/08/134667786_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/09/03/18/30/08/134667786_p0_square1200.jpg,祈荒10840345/134667786美丽人生屠宰场某日的进货单（2）/美丽人生屠宰场某日的进货单（2）#134667786_p000.jpg
132910592,"R-18G,エロ処刑,女戦闘員,斩首,四肢切断,工口处刑,斬首,巨乳,女兵士","R-18G,H处刑,女战斗员,斩首,四肢截断,工口处刑,巨乳,女士兵",祈荒,10840345,美丽人生屠宰场某日的进货单（1）,"美丽人生屠宰场是秀之味旗下的专门用于加工女兵女体的公司，女兵会根据进货时的情况进行不同的加工，从粗饲料到精美的艺术制品（rimworld都有其实哈哈）
这里展现的是女兵在某些世界线下的be结局，也许你来当指挥官，她们的结局会完全不一样哦~",Illustration,3,664,No,453,14200,13,3721,5262,R-18G,No,2025-07-20T08:35:00+00:00,https://i.pximg.net/img-original/img/2025/07/20/17/35/29/132910592_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/07/20/17/35/29/132910592_p0_square1200.jpg,祈荒10840345/132910592美丽人生屠宰场某日的进货单（1）/美丽人生屠宰场某日的进货单（1）#132910592_p000.jpg
