id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
138875215,"オリジナル,Eurica,人外,ロボ娘","原创,Eurica,非人类,机械娘",ub1mo,88702,Eurica,,Illustration,1,1286,No,844,4965,3,831,1518,AllAges,No,2025-12-21T12:23:00+00:00,https://i.pximg.net/img-original/img/2025/12/21/21/23/40/138875215_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/12/21/21/23/40/138875215_p0_custom1200.jpg,ub1mo88702/Eurica#138875215_p000.jpg
138795196,"アーマードコアⅥ,擬人化,ロボ娘,人外,ACVI,爆乳,片目隠れ,ファイアーズ・オブ・ルビコン","Armored Core VI,拟人化,机械娘,非人类,ACVI,爆乳,片目隠れ,ファイアーズ・オブ・ルビコン",ub1mo,88702,AC擬人化・その2,,Illustration,2,1914,No,1161,8444,11,1131,1867,AllAges,No,2025-12-19T14:27:00+00:00,https://i.pximg.net/img-original/img/2025/12/19/23/27/42/138795196_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/12/19/23/27/42/138795196_p0_square1200.jpg,ub1mo88702/138795196AC擬人化・その2/AC擬人化・その2#138795196_p000.jpg
137812399,"オリジナル,人外,ぽっちゃり,白肌,Xiesta,バニーガール,爆乳,ぶっともも","原创,非人类,丰满,白肌,Xiesta,兔女郎,爆乳,Thick thighs",ub1mo,88702,bunny,,Illustration,1,2091,No,1369,8324,9,2025,2456,AllAges,No,2025-11-23T12:50:00+00:00,https://i.pximg.net/img-original/img/2025/11/23/21/50/43/137812399_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/11/23/21/50/43/137812399_p0_custom1200.jpg,ub1mo88702/bunny#137812399_p000.jpg
132085052,"人外,ぽっちゃり,白肌,汗,Xiesta","非人类,丰满,白肌,汗,Xiesta",ub1mo,88702,Xiesta,,Illustration,1,2712,No,1703,12528,7,1371,1842,AllAges,No,2025-06-28T15:03:00+00:00,https://i.pximg.net/img-original/img/2025/06/29/00/03/44/132085052_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/06/29/00/03/44/132085052_p0_custom1200.jpg,ub1mo88702/Xiesta#132085052_p000.jpg
131869684,"人外,ロボ娘,Eurica,多腕,骨","非人类,机械娘,Eurica,多手,骨",ub1mo,88702,eurica,,Illustration,1,2989,No,1794,14067,10,1524,2165,AllAges,No,2025-06-22T15:32:00+00:00,https://i.pximg.net/img-original/img/2025/06/23/00/32/52/131869684_p0.png,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/06/23/00/32/52/131869684_p0_custom1200.jpg,ub1mo88702/eurica#131869684_p000.png
131570490,"オリジナル,人外,腹筋,黒肌,Ill,ふともも,L字開脚,褐色","原创,非人类,腹肌,黒肌,Ill,大腿,L字開脚,小麦色",ub1mo,88702,ILL,,Illustration,1,4943,No,2985,19086,15,1838,1909,AllAges,No,2025-06-14T17:26:00+00:00,https://i.pximg.net/img-original/img/2025/06/15/02/26/31/131570490_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/06/15/02/26/31/131570490_p0_custom1200.jpg,ub1mo88702/ILL#131570490_p000.jpg
131297797,"アーマードコアⅥ,擬人化,ロボ娘,人外,剣,巨乳,美脚,ACVI","Armored Core VI,拟人化,机械娘,非人类,剑,巨乳,美腿,ACVI",ub1mo,88702,AC擬人化,,Illustration,3,2421,No,1461,12656,12,1552,2435,AllAges,No,2025-06-07T15:17:00+00:00,https://i.pximg.net/img-original/img/2025/06/08/00/17/18/131297797_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/06/08/00/17/18/131297797_p0_square1200.jpg,ub1mo88702/131297797AC擬人化/AC擬人化#131297797_p000.jpg
126636907,"オリジナル,人外,ロボ娘,多腕,シースルー,スケルトン","原创,非人类,机械娘,多手,透视,skeleton",ub1mo,88702,Eurica(Rubicon),"commission
update https://ub1mo.fanbox.cc/",Illustration,2,4146,No,2490,21210,10,1422,2255,AllAges,No,2025-01-27T14:03:00+00:00,https://i.pximg.net/img-original/img/2025/01/27/23/03/56/126636907_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/01/27/23/03/56/126636907_p0_square1200.jpg,ub1mo88702/126636907Eurica(Rubicon)/Eurica(Rubicon)#126636907_p000.jpg
126636512,"オリジナル,人外,キョンシー,白肌","原创,非人类,僵尸,白肌",ub1mo,88702,"Jiangshi Twelve",,Illustration,2,1752,No,1156,10642,4,1338,1802,AllAges,No,2025-01-27T13:54:00+00:00,https://i.pximg.net/img-original/img/2025/01/27/22/54/11/126636512_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/01/27/22/54/11/126636512_p0_square1200.jpg,"ub1mo88702/126636512Jiangshi Twelve/Jiangshi Twelve#126636512_p000.jpg"
126636430,"オリジナル,人外,キョンシー,赤肌,腹筋,筋肉娘,乳暖簾","原创,非人类,僵尸,红皮肤,腹肌,肌肉娘,乳暖簾",ub1mo,88702,"Jiangshi Mu",,Illustration,1,5888,No,3478,24883,13,794,1580,AllAges,No,2025-01-27T13:51:00+00:00,https://i.pximg.net/img-original/img/2025/01/27/22/51/39/126636430_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/01/27/22/51/39/126636430_p0_custom1200.jpg,"ub1mo88702/Jiangshi Mu#126636430_p000.jpg"
