id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
136935743,"R-18,バーチャルYouTuber,巨根,VTuber,男の娘,feet,Akugaki_Koa,褐色,サキュバス,ハロウィン","R-18,虚拟主播,巨大阴茎,VTuber,伪娘,feet,Akugaki_Koa,小麦色,魅魔,万圣节",G29,37016132,Koa,,Illustration,1,793,No,513,3659,2,1040,2038,R-18,No,2025-10-31T14:36:00+00:00,https://i.pximg.net/img-original/img/2025/10/31/23/36/36/136935743_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/10/31/23/36/36/136935743_p0_custom1200.jpg,G2937016132/Koa#136935743_p000.jpg
136935417,"R-18,ふたなり,爆根,バーチャルYouTuber,VTuber,巨根,chibidoki","R-18,扶他,巨屌,虚拟主播,VTuber,巨大阴茎,chibidoki",G29,37016132,Futautistic,,Illustration,1,953,No,545,4154,4,1187,1804,R-18,No,2025-10-31T14:31:00+00:00,https://i.pximg.net/img-original/img/2025/10/31/23/31/27/136935417_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/10/31/23/31/27/136935417_p0_square1200.jpg,G2937016132/Futautistic#136935417_p000.jpg
136934951,"R-18,ふたなり,巨根,筋肉娘,褐色,腹筋,僕のヒーローアカデミア,ミルコ","R-18,扶他,巨大阴茎,肌肉娘,小麦色,腹肌,我的英雄学院,Miruko",G29,37016132,"Futa Mirko",,Illustration,1,1177,No,660,4396,4,1004,1542,R-18,No,2025-10-31T14:25:00+00:00,https://i.pximg.net/img-original/img/2025/10/31/23/25/13/136934951_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/10/31/23/25/13/136934951_p0_custom1200.jpg,"G2937016132/Futa Mirko#136934951_p000.jpg"
132936969,"R-18,ふたなり,巨根,筋肉娘,褐色,腹筋,バーチャルYouTuber,巨乳","R-18,扶他,巨大阴茎,肌肉娘,小麦色,腹肌,虚拟主播,巨乳",G29,37016132,"Futa Beach 2",,Illustration,1,1963,No,1156,7665,5,1104,1774,R-18,No,2025-07-20T22:35:00+00:00,https://i.pximg.net/img-original/img/2025/07/21/07/35/16/132936969_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/07/21/07/35/16/132936969_p0_square1200.jpg,"G2937016132/Futa Beach 2#132936969_p000.jpg"
132936896,"R-18,ふたなり,肛門,巨根,巨乳,巨尻,アカメが斬る!,エスデス,口交","R-18,扶他,肛門,巨大阴茎,巨乳,肥臀,斩·赤红之瞳,艾斯德斯,口交",G29,37016132,"Futa Esdeath",,Illustration,1,1462,No,875,6484,5,1877,1599,R-18,No,2025-07-20T22:30:00+00:00,https://i.pximg.net/img-original/img/2025/07/21/07/30/43/132936896_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/07/21/07/30/43/132936896_p0_custom1200.jpg,"G2937016132/Futa Esdeath#132936896_p000.jpg"
129665908,"R-18,ふたなり,ふたなり化,筋肉娘,巨乳,剥けチン,爆根","R-18,扶他,ふたなり化,肌肉娘,巨乳,包皮翻起,巨屌",G29,37016132,"Futa Pai",,Illustration,1,1916,No,973,7468,6,1138,1812,R-18,No,2025-04-24T16:03:00+00:00,https://i.pximg.net/img-original/img/2025/04/25/01/03/03/129665908_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/04/25/01/03/03/129665908_p0_custom1200.jpg,"G2937016132/Futa Pai#129665908_p000.jpg"
129103764,"R-18,バーチャルYouTuber,アナル,褐色,巨根,巨尻,射精,Feet","R-18,虚拟主播,肛门,小麦色,巨大阴茎,肥臀,射精,Feet",G29,37016132,"Lily Endou",,Illustration,1,1851,No,1057,8054,3,1867,935,R-18,No,2025-04-08T14:23:00+00:00,https://i.pximg.net/img-original/img/2025/04/08/23/23/38/129103764_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/04/08/23/23/38/129103764_p0_custom1200.jpg,"G2937016132/Lily Endou#129103764_p000.jpg"
128323165,"R-18,ふたなり,筋肉娘,肛門,褐色,腹筋,バーチャルYouTuber,rakkun","R-18,扶他,肌肉娘,肛門,小麦色,腹肌,虚拟主播,rakkun",G29,37016132,"Rakkun Gym",,Illustration,2,1056,No,631,5864,6,887,1448,R-18,No,2025-03-17T13:15:00+00:00,https://i.pximg.net/img-original/img/2025/03/17/22/15/06/128323165_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2025/03/17/22/15/06/128323165_p0_square1200.jpg,"G2937016132/128323165Rakkun Gym/Rakkun Gym#128323165_p000.jpg"
127601090,"R-18,ふたなり,巨根,筋肉娘,バーチャルYouTuber,腹筋","R-18,扶他,巨大阴茎,肌肉娘,虚拟主播,腹肌",G29,37016132,"Futa Eris",,Illustration,1,1738,No,963,8986,4,1101,1547,R-18,No,2025-02-24T14:45:00+00:00,https://i.pximg.net/img-original/img/2025/02/24/23/45/57/127601090_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/02/24/23/45/57/127601090_p0_custom1200.jpg,"G2937016132/Futa Eris#127601090_p000.jpg"
127087660,"R-18,otokonoko,バーチャルYouTuber,巨根,VTuber,腹筋,肛門,アナル,バーチャルYouTuber500users入り,男の娘","R-18,otokonoko,虚拟主播,巨大阴茎,VTuber,腹肌,肛門,肛门,虚拟YouTuber 500收藏,伪娘",G29,37016132,Crayon,:ddddd,Illustration,1,2120,No,1245,9735,6,1906,1133,R-18,No,2025-02-10T01:35:00+00:00,https://i.pximg.net/img-original/img/2025/02/10/10/35/45/127087660_p0.jpg,https://i.pximg.net/c/250x250_80_a2/custom-thumb/img/2025/02/10/10/35/45/127087660_p0_custom1200.jpg,G2937016132/Crayon#127087660_p000.jpg
